Matrix,Init Time (ms),Best Time (ms),Best col_frac,Best hot_frac
oscil_dcop_08,0.00433,0.00433,1,1
dwt_245,0.004331,0.004331,1,1
dwt_607,0.004331,0.004331,1,1
cdde4,0.004332,0.004332,1,1
dwt_992,0.004332,0.004332,1,1
oscil_dcop_23,0.004332,0.004332,1,1
Trefethen_150,0.004334,0.004334,1,1
dw2048,0.004334,0.004334,1,1
blckhole,0.004338,0.004338,1,1
oscil_dcop_02,0.004338,0.004338,1,1
bcspwr07,0.00434,0.00434,1,1
oscil_dcop_22,0.004343,0.004343,1,1
qh1484,0.004343,0.004343,1,1
west0655,0.004344,0.004344,1,1
west0381,0.004349,0.004349,1,1
oscil_dcop_01,0.00435,0.00435,1,1
oscil_trans_01,0.004354,0.004354,1,1
S80PI_n1,0.004355,0.004355,1,1
oscil_dcop_24,0.004362,0.004362,1,1
oscil_dcop_55,0.004363,0.004363,1,1
S40PI_n1,0.004364,0.004364,1,1
lshp1882,0.004366,0.004366,1,1
pores_2,0.004369,0.004369,1,1
bfwa398,0.004371,0.004371,1,1
oscil_dcop_06,0.004377,0.004377,1,1
oscil_dcop_14,0.004378,0.004378,1,1
oscil_dcop_42,0.004378,0.004378,1,1
oscil_dcop_26,0.00438,0.00438,1,1
b2_ss,0.004383,0.004383,1,1
gre_1107,0.004384,0.004384,1,1
b_dyn,0.004385,0.004385,1,1
extr1,0.004385,0.004385,1,1
nos6,0.004386,0.004386,1,1
oscil_dcop_05,0.004388,0.004388,1,1
bcspwr08,0.004398,0.004398,1,1
lshp3466,0.004398,0.004398,1,1
oscil_dcop_29,0.004399,0.004399,1,1
swang2,0.004399,0.004399,1,1
1138_bus,0.004403,0.004403,1,1
DK01R,0.004405,0.004405,1,1
pores_3,0.004405,0.004405,1,1
oscil_dcop_56,0.004406,0.004406,1,1
west1505,0.004408,0.004408,1,1
dw1024,0.004413,0.004413,1,1
jagmesh1,0.004416,0.004416,1,1
west2021,0.004416,0.004416,1,1
young1c,0.004416,0.004416,1,1
lshp2614,0.004417,0.004417,1,1
bcspwr09,0.004424,0.004424,1,1
rdb1250,0.004425,0.004425,1,1
