Matrix Name,cd_perf (ms),cusparse_perf (ms)
1138_bus,0.0104,0.0137
144,0.0294,0.0390
2D_27628_bjtcai,0.0067,0.0153
2D_54019_highK,0.0081,0.0179
2cubes_sphere,0.0114,0.0217
333SP,0.1817,0.1950
3D_28984_Tetra,0.0080,0.0159
3D_51448_3D,0.0095,0.0180
3Dspectralwave,0.1556,0.2271
3Dspectralwave2,0.0707,0.1052
3dtube,0.0128,0.0290
3elt,0.0076,0.0138
3elt_dual,0.0110,0.0149
494_bus,0.0087,0.0124
598a,0.0228,0.0323
662_bus,0.0103,0.0134
685_bus,0.0087,0.0131
ABACUS_shell_hd,0.0064,0.0151
ABACUS_shell_ld,0.0065,0.0153
ABACUS_shell_md,0.0063,0.0147
ABACUS_shell_ud,0.0065,0.0152
ACTIVSg10K,0.0079,0.0143
ACTIVSg2000,0.0074,0.0135
ACTIVSg70K,0.0115,0.0160
AS365,0.2101,0.2202
ASIC_100k,0.0132,0.0195
ASIC_100ks,0.0103,0.0168
ASIC_320k,0.0178,0.0283
ASIC_320ks,0.0142,0.0246
ASIC_680k,0.0287,0.0396
ASIC_680ks,0.0195,0.0288
Alemdar,0.0083,0.0142
Andrews,0.0161,0.0276
Baumann,0.0087,0.0170
BenElechi1,0.0615,0.0935
Binaryalphadigs_10NN,0.0061,0.0126
Bump_2911,0.5618,0.7923
CAG_mat1916,0.0062,0.0137
CAG_mat364,0.0052,0.0128
CAG_mat72,0.0047,0.0117
CO,0.0429,0.0622
CSphd,0.0222,0.0156
California,0.0196,0.0162
Chebyshev1,0.0072,0.0128
Chebyshev2,0.0262,0.0134
Chebyshev3,0.0404,0.0142
Chebyshev4,0.4730,0.0428
Chem97ZtZ,0.0129,0.0143
Chevron1,0.0068,0.0151
Chevron2,0.0081,0.0174
Chevron3,0.0162,0.0326
Chevron4,0.0440,0.0528
CollegeMsg,0.0084,0.0132
CoupCons3D,0.1012,0.1501
Cube_Coup_dt0,0.5330,0.7798
Cube_Coup_dt6,0.5332,0.7795
CurlCurl_0,0.0062,0.0142
CurlCurl_1,0.0121,0.0256
CurlCurl_2,0.0544,0.0678
CurlCurl_3,0.0773,0.0941
CurlCurl_4,0.1392,0.1682
DK01R,0.0061,0.0123
