Matrix Name,square_ratio
TSOPF_FS_b39_c19,0.130019
TSOPF_FS_b39_c30,0.130112
TSOPF_FS_b39_c7,0.129589
TSOPF_FS_b9_c1,0.196306
TSOPF_FS_b9_c6,0.194643
TSOPF_RS_b162_c1,0.112883
TSOPF_RS_b162_c3,0.119720
TSOPF_RS_b162_c4,0.120532
TSOPF_RS_b2052_c1,0.075314
TSOPF_RS_b2383,0.080979
TSOPF_RS_b2383_c1,0.080979
TSOPF_RS_b300_c1,0.102991
TSOPF_RS_b300_c2,0.107206
TSOPF_RS_b300_c3,0.108440
TSOPF_RS_b39_c19,0.152430
TSOPF_RS_b39_c30,0.152525
TSOPF_RS_b39_c7,0.151963
TSOPF_RS_b678_c1,0.092171
TSOPF_RS_b678_c2,0.099419
TSOPF_RS_b9_c6,0.294676
Transport,0.459026
Trefethen_150,0.478400
Trefethen_200,0.476625
Trefethen_2000,0.467967
Trefethen_20000,0.480367
Trefethen_20000b,0.480385
Trefethen_200b,0.478321
Trefethen_300,0.478400
Trefethen_500,0.467496
Trefethen_700,0.476914
USAir97,0.063770
USpowerGrid,0.312443
Vehicle_10NN,0.490189
Wordnet3,0.066975
YaleA_10NN,0.449587
YaleB_10NN,0.448872
Zd_Jac2,0.022663
Zd_Jac2_db,0.035208
Zd_Jac3,0.021652
Zd_Jac3_db,0.037282
Zd_Jac6,0.021898
Zd_Jac6_db,0.032923
Zewail,0.081903
Zhao1,0.473185
Zhao2,0.473185
a0nsdsil,0.404955
a2nnsnsl,0.417955
a5esindl,0.430073
adaptive,0.479495
add20,0.145059
add32,0.332530
adder_dcop_01,0.312333
adder_dcop_02,0.311769
adder_dcop_03,0.310513
adder_dcop_04,0.304977
adder_dcop_05,0.309912
adder_dcop_06,0.311154
adder_dcop_07,0.311769
adder_dcop_08,0.311769
adder_dcop_09,0.311769
adder_dcop_10,0.311141
adder_dcop_11,0.311769
adder_dcop_12,0.311769
adder_dcop_13,0.312083
adder_dcop_14,0.311769
adder_dcop_15,0.311769
adder_dcop_16,0.311769
adder_dcop_17,0.311769
adder_dcop_18,0.311769
adder_dcop_19,0.311769
adder_dcop_20,0.311769
adder_dcop_21,0.311769
adder_dcop_22,0.311769
adder_dcop_23,0.311769
adder_dcop_24,0.311769
adder_dcop_25,0.311769
adder_dcop_26,0.311769
adder_dcop_27,0.311769
adder_dcop_28,0.311769
adder_dcop_29,0.311769
adder_dcop_30,0.311769
adder_dcop_31,0.311769
adder_dcop_32,0.311769
adder_dcop_33,0.311769
adder_dcop_34,0.311769
adder_dcop_35,0.311769
adder_dcop_36,0.311769
adder_dcop_37,0.311769
adder_dcop_38,0.311769
adder_dcop_39,0.311769
adder_dcop_40,0.311769
adder_dcop_41,0.311769
adder_dcop_42,0.311769
adder_dcop_43,0.311769
adder_dcop_44,0.311769
adder_dcop_45,0.311769
adder_dcop_46,0.311769
adder_dcop_47,0.311769
adder_dcop_48,0.311769
adder_dcop_49,0.311769
adder_dcop_50,0.311769
adder_dcop_51,0.311769
adder_dcop_52,0.311769
adder_dcop_53,0.311769
adder_dcop_54,0.311769
adder_dcop_55,0.311769
adder_dcop_56,0.311769
adder_dcop_57,0.311769
adder_dcop_58,0.311769
adder_dcop_59,0.311769
adder_dcop_60,0.311769
adder_dcop_61,0.311769
adder_dcop_62,0.311769
adder_dcop_63,0.311769
adder_dcop_64,0.311769
adder_dcop_65,0.311769
adder_dcop_66,0.311769
adder_dcop_67,0.311769
adder_dcop_68,0.311769
adder_dcop_69,0.311769
adder_trans_01,0.333641
adder_trans_02,0.333641
af23560,0.459843
af_0_k101,0.475860
af_1_k101,0.475860
af_2_k101,0.475860
af_3_k101,0.475860
af_4_k101,0.475860
af_5_k101,0.475860
af_shell1,0.475483
af_shell2,0.475483
af_shell3,0.475483
af_shell4,0.475483
af_shell5,0.475483
af_shell6,0.475483
af_shell7,0.475483
af_shell8,0.475483
af_shell9,0.475483
aft01,0.439008
aft02,0.431755
airfoil1,0.452568
airfoil1_dual,0.461189
airfoil_2d,0.463821
ak2010,0.316969
al2010,0.364060
amazon-2008,0.214098
amazon0302,0.314736
amazon0312,0.233732
amazon0505,0.235534
amazon0601,0.247055
analytics,0.049843
apache1,0.453733
apache2,0.454785
appu,0.458800
ar2010,0.367388
arc130,0.297752
as-22july06,0.161002
as-735,0.115557
as-Skitter,0.057322
as-caida,0.115423
ash292,0.415228
asia_osm,0.447094
astro-ph,0.072282
atmosmodd,0.471602
atmosmodj,0.471602
atmosmodl,0.470064
atmosmodm,0.470064
audikw_1,0.416841
aug2d,0.436057
aug2dc,0.436121
aug3d,0.395466
aug3dcqp,0.407279
auto,0.478323
av41092,0.005812
az2010,0.357595
b2_ss,0.253777
b_dyn,0.253249
barrier2-1,0.313817
barrier2-10,0.314575
barrier2-11,0.314575
barrier2-12,0.314575
barrier2-2,0.313817
barrier2-3,0.313817
barrier2-4,0.313817
barrier2-9,0.314575
barth,0.485672
barth4,0.455401
barth5,0.468508
bauru5727,0.209495
bayer01,0.170441
bayer02,0.190044
bayer03,0.080260
bayer04,0.076387
bayer05,0.043266
bayer06,0.048629
bayer07,0.043266
bayer08,0.048629
bayer09,0.069780
bayer10,0.088347
bbmat,0.140710
bcircuit,0.376820
bcspwr04,0.245671
bcspwr05,0.360766
bcspwr06,0.360003
bcspwr07,0.355565
bcspwr08,0.349870
bcspwr09,0.353958
bcspwr10,0.399286
bcsstk02,0.608356
bcsstk04,0.376033
bcsstk05,0.328762
bcsstk06,0.371162
bcsstk07,0.371162
bcsstk08,0.289763
bcsstk09,0.413308
bcsstk10,0.369776
bcsstk11,0.371268
bcsstk12,0.371268
bcsstk13,0.249648
bcsstk14,0.399899
bcsstk15,0.417572
bcsstk16,0.382862
bcsstk17,0.326910
bcsstk18,0.222089
bcsstk19,0.358658
bcsstk20,0.304840
bcsstk21,0.440193
bcsstk23,0.336632
bcsstk24,0.359550
bcsstk25,0.308748
bcsstk26,0.358826
bcsstk27,0.421197
bcsstk28,0.411151
bcsstk29,0.365458
bcsstk30,0.344773
bcsstk31,0.302752
bcsstk32,0.346320
bcsstk33,0.410308
bcsstk34,0.396073
bcsstk35,0.384425
bcsstk36,0.406911
bcsstk37,0.351014
bcsstk38,0.338134
bcsstk39,0.462237
bcsstm07,0.365079
bcsstm08,0.479590
bcsstm09,0.479188
bcsstm10,0.369776
bcsstm11,0.479403
bcsstm12,0.285813
bcsstm13,0.040674
