Matrix Name,cd_perf (ms),cusparse_perf (ms)
1138_bus,0.0049,0.0069
144,0.0271,0.0310
2D_27628_bjtcai,0.0070,0.0097
2D_54019_highK,0.0111,0.0136
2cubes_sphere,0.0168,0.0193
333SP,0.3198,0.2911
3D_28984_Tetra,0.0082,0.0107
3D_51448_3D,0.0116,0.0139
3Dspectralwave,0.3036,0.2852
3Dspectralwave2,0.1358,0.1273
3dtube,0.0375,0.0324
3elt,0.0044,0.0068
3elt_dual,0.0048,0.0073
494_bus,0.0048,0.0066
598a,0.0208,0.0238
662_bus,0.0050,0.0067
685_bus,0.0044,0.0073
ABACUS_shell_hd,0.0061,0.0084
ABACUS_shell_ld,0.0058,0.0081
ABACUS_shell_md,0.0061,0.0084
ABACUS_shell_ud,0.0059,0.0081
ACTIVSg10K,0.0056,0.0078
ACTIVSg2000,0.0050,0.0070
ACTIVSg70K,0.0066,0.0090
AS365,0.5264,0.4710
ASIC_100k,0.0113,0.0128
ASIC_100ks,0.0086,0.0113
ASIC_320k,0.0356,0.0286
ASIC_320ks,0.0187,0.0224
ASIC_680k,0.0543,0.0451
ASIC_680ks,0.0417,0.0341
Alemdar,0.0050,0.0078
Andrews,0.0142,0.0180
Baumann,0.0085,0.0127
BenElechi1,0.1221,0.1174
Binaryalphadigs_10NN,0.0048,0.0066
Bump_2911,1.0989,1.1798
CAG_mat1916,0.0060,0.0083
CAG_mat364,0.0047,0.0066
CAG_mat72,0.0043,0.0064
CO,0.0798,0.0725
CSphd,0.0060,0.0091
California,0.0063,0.0080
Chebyshev1,0.0042,0.0069
Chebyshev2,0.0118,0.0072
Chebyshev3,0.0173,0.0073
Chebyshev4,0.2730,0.0479
Chem97ZtZ,0.0046,0.0073
Chevron1,0.0060,0.0089
Chevron2,0.0089,0.0121
Chevron3,0.0457,0.0389
Chevron4,0.0772,0.0667
CollegeMsg,0.0054,0.0076
CoupCons3D,0.2113,0.1937
Cube_Coup_dt0,1.1081,1.1430
Cube_Coup_dt6,1.1084,1.1429
CurlCurl_0,0.0052,0.0077
CurlCurl_1,0.0302,0.0286
CurlCurl_2,0.0995,0.0903
CurlCurl_3,0.1439,0.1405
CurlCurl_4,0.2682,0.2834
DK01R,0.0045,0.0075
Dubcova1,0.0062,0.0088
Dubcova2,0.0120,0.0152
Dubcova3,0.0440,0.0385
EAT_RS,0.0114,0.0120
EAT_SR,0.0097,0.0116
EPA,0.0076,0.0100
EVA,0.0137,0.0147
EX1,0.0046,0.0066
EX2,0.0048,0.0068
EX3,0.0052,0.0074
