Matrix Name,cd_perf (ms),cusparse_perf (ms)
Ill_Stokes,0.0073,0.0154
JapaneseVowelsSmall_10NN,0.0055,0.0132
Journals,0.0045,0.0103
Kaufhold,0.0045,0.0125
Kohonen,0.0080,0.0159
Kuu,0.0059,0.0133
L-9,0.0050,0.0128
L,0.0046,0.0107
LF10000,0.0047,0.0129
LFAT5000,0.0048,0.0122
LeGresley_2508,0.0043,0.0111
LeGresley_4908,0.0047,0.0119
LeGresley_87936,0.0086,0.0177
Lederberg,0.0065,0.0136
Lin,0.0150,0.0272
Linux_call_graph,0.0155,0.0261
Long_Coup_dt0,0.7267,0.7883
Long_Coup_dt6,0.7265,0.7883
M10PI_n,0.0042,0.0110
M10PI_n1,0.0042,0.0107
M20PI_n,0.0042,0.0111
M20PI_n1,0.0043,0.0110
M40PI_n,0.0042,0.0116
M40PI_n1,0.0044,0.0111
M6,0.4783,0.4424
M80PI_n,0.0046,0.0116
M80PI_n1,0.0044,0.0116
MISKnowledgeMap,0.0056,0.0125
ML_Geer,0.9055,0.9896
ML_Laplace,0.2344,0.2426
Muu,0.0050,0.0122
NACA0015,0.0800,0.0837
NLR,0.6219,0.5885
Na5,0.0065,0.0135
NotreDame_www,0.0325,0.0567
NotreDame_yeast,0.0051,0.0114
ODLIS,0.0044,0.0117
OPF_10000,0.0070,0.0155
OPF_3754,0.0051,0.0127
OPF_6000,0.0061,0.0141
Olivetti_norm_10NN,0.0044,0.0109
Oregon-1,0.0351,0.0125
Oregon-2,0.0363,0.0130
PFlow_742,0.3164,0.3263
PGPgiantcompo,0.0059,0.0134
PR02R,0.0787,0.0826
Pd,0.0049,0.0126
Plants_10NN,0.0046,0.0113
Pres_Poisson,0.0076,0.0159
Queen_4147,2.7449,2.9636
RFdevice,0.0065,0.0155
RM07R,0.3151,0.3194
Raj1,0.0129,0.0241
Reuters911,0.0094,0.0160
Roget,0.0048,0.0111
S10PI_n,0.0041,0.0107
S10PI_n1,0.0045,0.0108
S20PI_n,0.0044,0.0113
S20PI_n1,0.0043,0.0113
S40PI_n,0.0042,0.0112
S40PI_n1,0.0043,0.0110
S80PI_n,0.0048,0.0118
S80PI_n1,0.0046,0.0116
SciMet,0.0053,0.0123
Serena,0.5604,0.5958
Si10H16,0.0096,0.0182
Si2,0.0042,0.0107
Si34H36,0.0523,0.0529
Si41Ge41H72,0.1301,0.1313
Si5H12,0.0091,0.0176
Si87H76,0.0986,0.1006
SiH4,0.0056,0.0129
SiNa,0.0056,0.0127
SiO,0.0130,0.0214
SiO2,0.1009,0.0986
Sieber,0.0043,0.0118
SmaGri,0.0049,0.0116
Spectro_10NN,0.0042,0.0115
Stanford,0.0373,0.0446
Stanford_Berkeley,2.7413,0.0814
StocF-1465,0.2088,0.2263
TEM152078,0.0654,0.0682
TEM181302,0.0772,0.0801
TEM27623,0.0071,0.0151
TS,0.0044,0.0113
TSC_OPF_1047,0.0141,0.0197
TSC_OPF_300,0.0083,0.0161
TSOPF_FS_b162_c1,0.0074,0.0151
TSOPF_FS_b162_c3,0.0136,0.0212
TSOPF_FS_b162_c4,0.0183,0.0263
TSOPF_FS_b300,0.0433,0.0441
TSOPF_FS_b300_c1,0.0433,0.0434
TSOPF_FS_b300_c2,0.0763,0.0794
TSOPF_FS_b300_c3,0.1101,0.1132
TSOPF_FS_b39_c19,0.2202,0.0240
TSOPF_FS_b39_c30,0.3713,0.0346
TSOPF_FS_b39_c7,0.0786,0.0159
TSOPF_FS_b9_c1,0.0043,0.0112
TSOPF_FS_b9_c6,0.0460,0.0123
TSOPF_RS_b162_c1,0.0052,0.0127
TSOPF_RS_b162_c3,0.0070,0.0150
TSOPF_RS_b162_c4,0.0079,0.0163
TSOPF_RS_b2052_c1,0.0603,0.0606
TSOPF_RS_b2383,0.1300,0.1282
TSOPF_RS_b2383_c1,0.1300,0.1284
TSOPF_RS_b300_c1,0.0111,0.0191
TSOPF_RS_b300_c2,0.0303,0.0325
TSOPF_RS_b300_c3,0.0431,0.0472
TSOPF_RS_b39_c19,0.0081,0.0161
TSOPF_RS_b39_c30,0.0110,0.0192
TSOPF_RS_b39_c7,0.0058,0.0132
TSOPF_RS_b678_c1,0.0424,0.0430
TSOPF_RS_b678_c2,0.0760,0.0777
TSOPF_RS_b9_c6,0.0048,0.0117
Transport,0.2271,0.2529
Trefethen_150,0.0040,0.0100
Trefethen_200,0.0042,0.0105
Trefethen_2000,0.0045,0.0114
Trefethen_20000,0.0086,0.0167
Trefethen_20000b,0.0086,0.0170
Trefethen_200b,0.0041,0.0106
Trefethen_300,0.0042,0.0103
Trefethen_500,0.0043,0.0108
Trefethen_700,0.0042,0.0106
USAir97,0.0044,0.0105
USpowerGrid,0.0049,0.0120
Vehicle_10NN,0.0045,0.0111
Wordnet3,0.0178,0.0147
YaleA_10NN,0.0041,0.0105
YaleB_10NN,0.0045,0.0113
Zd_Jac2,0.0138,0.0214
Zd_Jac2_db,0.0091,0.0172
Zd_Jac3,0.0154,0.0215
Zd_Jac3_db,0.0094,0.0172
Zd_Jac6,0.0144,0.0213
Zd_Jac6_db,0.0092,0.0171
Zewail,0.0066,0.0131
Zhao1,0.0051,0.0134
Zhao2,0.0051,0.0135
a0nsdsil,0.2302,0.0155
a2nnsnsl,0.2292,0.0156
a5esindl,0.1767,0.0141
adaptive,0.4578,0.4897
add20,0.0047,0.0118
add32,0.0046,0.0117
adder_dcop_01,0.0046,0.0115
adder_dcop_02,0.0045,0.0119
adder_dcop_03,0.0047,0.0116
adder_dcop_04,0.0050,0.0115
adder_dcop_05,0.0049,0.0115
adder_dcop_06,0.0044,0.0117
adder_dcop_07,0.0044,0.0115
adder_dcop_08,0.0045,0.0119
adder_dcop_09,0.0043,0.0114
adder_dcop_10,0.0047,0.0116
adder_dcop_11,0.0045,0.0119
adder_dcop_12,0.0045,0.0114
adder_dcop_13,0.0043,0.0114
adder_dcop_14,0.0045,0.0119
adder_dcop_15,0.0043,0.0114
adder_dcop_16,0.0046,0.0116
adder_dcop_17,0.0044,0.0118
adder_dcop_18,0.0045,0.0118
adder_dcop_19,0.0043,0.0114
adder_dcop_20,0.0045,0.0119
adder_dcop_21,0.0043,0.0114
adder_dcop_22,0.0045,0.0118
adder_dcop_23,0.0045,0.0114
adder_dcop_24,0.0043,0.0114
adder_dcop_25,0.0044,0.0118
adder_dcop_26,0.0045,0.0117
adder_dcop_27,0.0046,0.0116
adder_dcop_28,0.0043,0.0116
adder_dcop_29,0.0043,0.0114
adder_dcop_30,0.0043,0.0114
adder_dcop_31,0.0044,0.0117
adder_dcop_32,0.0045,0.0114
adder_dcop_33,0.0044,0.0117
adder_dcop_34,0.0046,0.0121
adder_dcop_35,0.0045,0.0119
adder_dcop_36,0.0043,0.0115
adder_dcop_37,0.0043,0.0114
adder_dcop_38,0.0042,0.0114
adder_dcop_39,0.0044,0.0117
adder_dcop_40,0.0046,0.0117
adder_dcop_41,0.0043,0.0116
adder_dcop_42,0.0045,0.0118
adder_dcop_43,0.0042,0.0115
adder_dcop_44,0.0043,0.0114
adder_dcop_45,0.0045,0.0118
adder_dcop_46,0.0042,0.0115
adder_dcop_47,0.0043,0.0117
adder_dcop_48,0.0043,0.0114
adder_dcop_49,0.0044,0.0117
adder_dcop_50,0.0042,0.0114
adder_dcop_51,0.0044,0.0117
adder_dcop_52,0.0044,0.0116
adder_dcop_53,0.0045,0.0118
adder_dcop_54,0.0045,0.0119
adder_dcop_55,0.0042,0.0115
adder_dcop_56,0.0044,0.0117
adder_dcop_57,0.0043,0.0114
adder_dcop_58,0.0044,0.0118
adder_dcop_59,0.0043,0.0114
adder_dcop_60,0.0044,0.0117
adder_dcop_61,0.0043,0.0116
adder_dcop_62,0.0045,0.0119
adder_dcop_63,0.0044,0.0117
adder_dcop_64,0.0045,0.0119
adder_dcop_65,0.0043,0.0114
adder_dcop_66,0.0045,0.0116
adder_dcop_67,0.0043,0.0114
adder_dcop_68,0.0045,0.0118
adder_dcop_69,0.0046,0.0117
adder_trans_01,0.0046,0.0111
adder_trans_02,0.0049,0.0112
af23560,0.0069,0.0146
af_0_k101,0.1584,0.1643
af_1_k101,0.1584,0.1645
af_2_k101,0.1584,0.1643
af_3_k101,0.1584,0.1643
af_4_k101,0.1586,0.1645
af_5_k101,0.1586,0.1646
af_shell1,0.1586,0.1647
af_shell10,0.4509,0.4991
af_shell2,0.1585,0.1650
af_shell3,0.1585,0.1648
af_shell4,0.1586,0.1654
af_shell5,0.1585,0.1650
af_shell6,0.1585,0.1650
af_shell7,0.1585,0.1648
af_shell8,0.1586,0.1654
af_shell9,0.1584,0.1647
aft01,0.0049,0.0127
aft02,0.0050,0.0121
airfoil1,0.0043,0.0122
airfoil1_dual,0.0044,0.0116
airfoil_2d,0.0059,0.0134
ak2010,0.0067,0.0149
al2010,0.0157,0.0275
amazon-2008,0.0639,0.0629
amazon0302,0.0145,0.0267
amazon0312,0.0417,0.0452
amazon0505,0.0434,0.0458
amazon0601,0.0435,0.0462
analytics,0.0200,0.0308
apache1,0.0070,0.0163
apache2,0.0608,0.0612
appu,0.0296,0.0416
ar2010,0.0121,0.0240
arabic-2005,5.6670,6.1160
arc130,0.0042,0.0105
as-22july06,0.0064,0.0140
as-735,0.0065,0.0124
as-Skitter,0.2447,0.2429
as-caida,0.0074,0.0148
ash292,0.0039,0.0101
asia_osm,0.4681,0.5187
astro-ph,0.0071,0.0143
atmosmodd,0.1031,0.1106
atmosmodj,0.1032,0.1108
atmosmodl,0.1185,0.1310
atmosmodm,0.1184,0.1311
audikw_1,0.6617,0.6819
aug2d,0.0053,0.0126
aug2dc,0.0049,0.0132
aug3d,0.0054,0.0130
aug3dcqp,0.0053,0.0134
auto,0.0846,0.0886
av41092,0.0148,0.0220
az2010,0.0162,0.0273
b2_ss,0.0046,0.0116
b_dyn,0.0047,0.0111
barrier2-1,0.0416,0.0410
barrier2-10,0.0424,0.0427
barrier2-11,0.0424,0.0424
barrier2-12,0.0424,0.0428
barrier2-2,0.0417,0.0415
barrier2-3,0.0416,0.0407
barrier2-4,0.0417,0.0411
barrier2-9,0.0424,0.0422
barth,0.0051,0.0130
barth4,0.0044,0.0120
barth5,0.0049,0.0126
bauru5727,0.0053,0.0133
bayer01,0.0059,0.0144
bayer02,0.0048,0.0125
bayer03,0.0050,0.0122
bayer04,0.0057,0.0134
bayer05,0.0048,0.0119
bayer06,0.0043,0.0112
bayer07,0.0045,0.0113
bayer08,0.0044,0.0114
bayer09,0.0050,0.0123
bayer10,0.0049,0.0124
bbmat,0.0135,0.0236
bcircuit,0.0066,0.0154
bcspwr04,0.0041,0.0104
bcspwr05,0.0044,0.0105
bcspwr06,0.0046,0.0109
bcspwr07,0.0046,0.0113
bcspwr08,0.0047,0.0112
bcspwr09,0.0046,0.0112
bcspwr10,0.0050,0.0120
bcsstk02,0.0042,0.0099
bcsstk04,0.0044,0.0102
bcsstk05,0.0043,0.0104
bcsstk06,0.0043,0.0106
bcsstk07,0.0043,0.0107
bcsstk08,0.0048,0.0112
bcsstk09,0.0044,0.0115
bcsstk10,0.0042,0.0111
bcsstk11,0.0046,0.0114
bcsstk12,0.0043,0.0110
bcsstk13,0.0049,0.0120
bcsstk14,0.0046,0.0112
bcsstk15,0.0050,0.0118
bcsstk16,0.0058,0.0133
bcsstk17,0.0064,0.0140
bcsstk18,0.0052,0.0128
bcsstk19,0.0040,0.0111
bcsstk20,0.0040,0.0105
bcsstk21,0.0042,0.0112
bcsstk23,0.0044,0.0113
bcsstk24,0.0049,0.0119
bcsstk25,0.0057,0.0134
bcsstk26,0.0044,0.0110
bcsstk27,0.0045,0.0113
bcsstk28,0.0054,0.0124
bcsstk29,0.0074,0.0155
bcsstk30,0.0147,0.0247
bcsstk31,0.0111,0.0197
bcsstk32,0.0147,0.0247
bcsstk33,0.0074,0.0154
bcsstk34,0.0042,0.0106
bcsstk35,0.0115,0.0205
bcsstk36,0.0100,0.0185
bcsstk37,0.0102,0.0190
bcsstk38,0.0060,0.0134
bcsstk39,0.0154,0.0252
bcsstm07,0.0042,0.0101
bcsstm08,0.0049,0.0119
bcsstm09,0.0048,0.0120
bcsstm10,0.0043,0.0112
bcsstm11,0.0045,0.0120
bcsstm12,0.0044,0.0116
bcsstm13,0.0053,0.0120
bcsstm21,0.0050,0.0120
bcsstm23,0.0051,0.0121
bcsstm24,0.0052,0.0122
bcsstm25,0.0051,0.0131
bcsstm26,0.0051,0.0121
bcsstm27,0.0047,0.0112
bcsstm34,0.0042,0.0104
bcsstm35,0.0070,0.0151
bcsstm36,0.0062,0.0144
bcsstm37,0.0071,0.0155
bcsstm38,0.0071,0.0138
bcsstm39,0.0055,0.0134
belgium_osm,0.0600,0.0711
benzene,0.0059,0.0134
bfly,0.0053,0.0142
bfwa398,0.0041,0.0105
bfwa782,0.0044,0.0109
bfwb398,0.0041,0.0102
bfwb782,0.0043,0.0108
bibd_81_2,0.0050,0.0122
big,0.0049,0.0131
big_dual,0.0049,0.0133
biplane-9,0.0051,0.0129
bips07_1693,0.0049,0.0123
bips07_1998,0.0049,0.0122
bips07_2476,0.0051,0.0129
bips07_3078,0.0051,0.0127
bips98_1142,0.0048,0.0121
bips98_1450,0.0048,0.0122
bips98_606,0.0046,0.0119
blckhole,0.0040,0.0108
blockqp1,0.0080,0.0160
bloweya,0.0055,0.0130
bloweybl,0.0054,0.0132
bloweybq,0.0338,0.0121
bmw3_2,0.1037,0.1091
bmw7st_1,0.0706,0.0756
bmwcra_1,0.0967,0.1032
bodyy4,0.0047,0.0125
bodyy5,0.0048,0.0130
bodyy6,0.0048,0.0129
bone010,0.5913,0.6261
boneS01,0.0656,0.0698
boneS10,0.4615,0.4857
boyd1,0.0109,0.0194
boyd2,0.0145,0.0275
bp_0,0.0049,0.0109
bp_1000,0.0045,0.0107
bp_1200,0.0045,0.0107
bp_1400,0.0046,0.0106
bp_1600,0.0048,0.0105
bp_200,0.0047,0.0105
bp_400,0.0046,0.0108
bp_600,0.0046,0.0106
bp_800,0.0048,0.0110
brack2,0.0087,0.0180
brainpc2,0.0053,0.0135
bratu3d,0.0056,0.0130
breasttissue_10NN,0.0041,0.0103
bundle1,0.0356,0.0164
bundle_adj,2.1477,0.1729
bwm2000,0.0042,0.0111
c-18,0.0045,0.0118
c-19,0.0047,0.0117
c-20,0.0049,0.0115
c-21,0.0060,0.0121
c-22,0.0044,0.0116
c-23,0.0066,0.0119
c-24,0.0053,0.0117
c-25,0.0046,0.0119
c-26,0.0050,0.0118
c-27,0.0058,0.0118
c-28,0.0044,0.0119
c-29,0.0060,0.0121
c-30,0.0197,0.0120
c-31,0.0055,0.0126
c-32,0.0212,0.0122
c-33,0.0049,0.0122
c-34,0.0056,0.0125
c-35,0.0053,0.0124
c-36,0.0053,0.0120
c-37,0.0055,0.0127
c-38,0.0061,0.0123
c-39,0.0055,0.0126
c-40,0.0053,0.0126
c-41,0.0057,0.0127
c-42,0.0056,0.0125
c-43,0.0052,0.0125
c-44,0.0051,0.0129
c-45,0.0430,0.0129
c-46,0.0055,0.0130
c-47,0.0071,0.0140
c-48,0.0064,0.0133
c-49,0.0055,0.0130
c-50,0.0065,0.0138
c-51,0.0063,0.0134
c-52,0.0064,0.0132
c-53,0.0071,0.0143
c-54,0.0076,0.0146
c-55,0.0078,0.0149
c-56,0.0067,0.0147
c-57,0.1175,0.0151
c-58,0.0083,0.0174
c-59,0.0089,0.0164
c-60,0.0063,0.0144
c-61,0.0066,0.0144
c-62,0.0090,0.0166
c-62ghs,0.0090,0.0165
c-63,0.0074,0.0156
c-64,0.0100,0.0174
c-64b,0.0099,0.0171
c-65,0.0067,0.0150
c-66,0.0081,0.0159
c-66b,0.0082,0.0164
c-67,0.0077,0.0162
c-67b,0.0076,0.0162
c-68,0.0083,0.0167
c-69,0.0090,0.0172
c-70,0.0094,0.0175
c-71,0.0102,0.0191
c-72,0.0090,0.0185
c-73,0.0126,0.0228
c-73b,0.0125,0.0224
c-big,0.0311,0.0351
ca-AstroPh,0.0122,0.0185
ca-CondMat,0.0076,0.0158
ca-GrQc,0.0054,0.0122
ca-HepPh,0.0091,0.0155
ca-HepTh,0.0054,0.0132
ca2010,0.0531,0.0570
cage,0.0042,0.0106
cage10,0.0053,0.0131
cage11,0.0084,0.0167
cage12,0.0197,0.0296
cage13,0.0803,0.0789
cage14,0.2668,0.2794
cage15,0.9873,1.0313
cage7,0.0041,0.0101
cage8,0.0044,0.0111
cage9,0.0044,0.0115
caidaRouterLevel,0.0181,0.0283
can_1054,0.0042,0.0110
can_1072,0.0042,0.0108
can_144,0.0041,0.0104
can_161,0.0040,0.0103
