Matrix Name,cd_perf (ms),cusparse_perf (ms)
Hook_1498,0.2734,0.3700
Ill_Stokes,0.0078,0.0112
JapaneseVowelsSmall_10NN,0.0059,0.0092
Journals,0.0046,0.0083
Kaufhold,0.0051,0.0096
Kohonen,0.0132,0.0122
Kuu,0.0068,0.0102
L-9,0.0063,0.0093
L,0.0055,0.0090
LF10000,0.0050,0.0094
LFAT5000,0.0058,0.0094
LeGresley_2508,0.0050,0.0095
LeGresley_4908,0.0054,0.0096
LeGresley_87936,0.0114,0.0115
Lederberg,0.0090,0.0109
Lin,0.0114,0.0178
Linux_call_graph,0.0180,0.0165
Long_Coup_dt0,0.3685,0.5315
Long_Coup_dt6,0.3685,0.5318
M10PI_n,0.0056,0.0092
M10PI_n1,0.0058,0.0090
M20PI_n,0.0055,0.0093
M20PI_n1,0.0057,0.0095
M40PI_n,0.0056,0.0096
M40PI_n1,0.0057,0.0093
M6,0.1938,0.1897
M80PI_n,0.0061,0.0097
M80PI_n1,0.0056,0.0100
MISKnowledgeMap,0.0059,0.0096
ML_Geer,0.4686,0.7187
ML_Laplace,0.1261,0.1905
Muu,0.0056,0.0091
NACA0015,0.0666,0.0633
NLR,0.2266,0.2271
Na5,0.0073,0.0100
NotreDame_www,0.0842,0.0320
NotreDame_yeast,0.0072,0.0099
ODLIS,0.0050,0.0092
OPF_10000,0.0139,0.0109
OPF_3754,0.0060,0.0097
OPF_6000,0.0111,0.0103
Olivetti_norm_10NN,0.0048,0.0085
Oregon-1,0.0683,0.0104
Oregon-2,0.0690,0.0105
PFlow_742,0.1835,0.2379
PGPgiantcompo,0.0079,0.0105
PR02R,0.0444,0.0581
Pd,0.0075,0.0106
Plants_10NN,0.0049,0.0087
Pres_Poisson,0.0073,0.0116
Queen_4147,1.3930,2.1796
RFdevice,0.0103,0.0106
RM07R,0.1695,0.2704
Raj1,0.0157,0.0144
Reuters911,0.0089,0.0120
Roget,0.0052,0.0090
S10PI_n,0.0056,0.0091
S10PI_n1,0.0057,0.0089
S20PI_n,0.0057,0.0094
S20PI_n1,0.0059,0.0094
S40PI_n,0.0057,0.0098
S40PI_n1,0.0057,0.0091
S80PI_n,0.0060,0.0096
S80PI_n1,0.0057,0.0100
SciMet,0.0076,0.0109
Serena,0.2799,0.3915
Si10H16,0.0084,0.0125
Si2,0.0051,0.0090
Si34H36,0.0279,0.0398
Si41Ge41H72,0.0770,0.1034
Si5H12,0.0083,0.0119
Si87H76,0.0584,0.0778
SiH4,0.0061,0.0094
SiNa,0.0060,0.0097
SiO,0.0101,0.0145
SiO2,0.0636,0.0785
Sieber,0.0047,0.0091
SmaGri,0.0060,0.0092
Spectro_10NN,0.0049,0.0085
Stanford,0.0423,0.0362
Stanford_Berkeley,0.0842,0.0569
StocF-1465,0.1339,0.1289
TEM152078,0.0374,0.0473
TEM181302,0.0450,0.0564
TEM27623,0.0079,0.0105
TS,0.0053,0.0086
TSC_OPF_1047,0.0131,0.0208
TSC_OPF_300,0.0085,0.0123
TSOPF_FS_b162_c1,0.0107,0.0112
TSOPF_FS_b162_c3,0.0140,0.0172
TSOPF_FS_b162_c4,0.0142,0.0204
TSOPF_FS_b300,0.0218,0.0415
TSOPF_FS_b300_c1,0.0218,0.0413
TSOPF_FS_b300_c2,0.0519,0.0912
TSOPF_FS_b300_c3,0.0723,0.1183
TSOPF_FS_b39_c19,0.0145,0.0183
TSOPF_FS_b39_c30,0.7280,0.0251
TSOPF_FS_b39_c7,0.0115,0.0120
TSOPF_FS_b9_c1,0.0054,0.0090
TSOPF_FS_b9_c6,0.0912,0.0098
TSOPF_RS_b162_c1,0.0058,0.0098
TSOPF_RS_b162_c3,0.0109,0.0115
TSOPF_RS_b162_c4,0.0114,0.0125
TSOPF_RS_b2052_c1,0.0431,0.0504
TSOPF_RS_b2383,0.0880,0.1128
TSOPF_RS_b2383_c1,0.0880,0.1129
TSOPF_RS_b300_c1,0.0121,0.0154
TSOPF_RS_b300_c2,0.0152,0.0254
TSOPF_RS_b300_c3,0.0182,0.0374
TSOPF_RS_b39_c19,0.0119,0.0116
TSOPF_RS_b39_c30,0.0133,0.0130
TSOPF_RS_b39_c7,0.0069,0.0102
TSOPF_RS_b678_c1,0.0189,0.0290
TSOPF_RS_b678_c2,0.0526,0.0613
TSOPF_RS_b9_c6,0.0060,0.0092
Transport,0.1212,0.1404
Trefethen_150,0.0046,0.0084
Trefethen_200,0.0045,0.0084
Trefethen_2000,0.0051,0.0086
Trefethen_20000,0.0075,0.0119
Trefethen_20000b,0.0076,0.0122
Trefethen_200b,0.0045,0.0085
Trefethen_300,0.0046,0.0081
Trefethen_500,0.0049,0.0086
Trefethen_700,0.0049,0.0086
USAir97,0.0051,0.0082
USpowerGrid,0.0062,0.0103
Vehicle_10NN,0.0051,0.0087
Wordnet3,0.0342,0.0119
YaleA_10NN,0.0046,0.0082
YaleB_10NN,0.0052,0.0093
Zd_Jac2,0.0169,0.0171
Zd_Jac2_db,0.0230,0.0134
Zd_Jac3,0.0171,0.0192
Zd_Jac3_db,0.0229,0.0128
Zd_Jac6,0.0173,0.0182
Zd_Jac6_db,0.0233,0.0130
Zewail,0.0106,0.0101
Zhao1,0.0061,0.0097
Zhao2,0.0061,0.0099
a0nsdsil,0.4854,0.0106
a2nnsnsl,0.4777,0.0104
a5esindl,0.3556,0.0102
adaptive,0.2292,0.2184
add20,0.0058,0.0100
add32,0.0059,0.0097
adder_dcop_01,0.0053,0.0091
adder_dcop_02,0.0049,0.0092
adder_dcop_03,0.0051,0.0091
adder_dcop_04,0.0054,0.0092
adder_dcop_05,0.0055,0.0093
adder_dcop_06,0.0049,0.0091
adder_dcop_07,0.0052,0.0093
adder_dcop_08,0.0049,0.0091
adder_dcop_09,0.0049,0.0091
adder_dcop_10,0.0052,0.0093
adder_dcop_11,0.0050,0.0092
adder_dcop_12,0.0050,0.0092
adder_dcop_13,0.0049,0.0092
adder_dcop_14,0.0050,0.0093
