Matrix Name,Rows,NNZs,Parameters (colProp, rowProp),TC_nnz_ratio,du_spmv (ms),cdspmv (ms)
GAP-web,50636151,1930292948,(0.375, 0.3),0.942562,3.076,12.5635
GAP-web,50636151,1930292948,(0.4375, 0.35),0.933926,3.6834,11.7597
GAP-web,50636151,1930292948,(0.5, 0.4),0.925639,4.275,10.9498
GAP-web,50636151,1930292948,(0.5625, 0.45),0.909102,4.8855,10.1491
GAP-web,50636151,1930292948,(0.625, 0.5),0.747366,5.5099,9.41
GAP-web,50636151,1930292948,(0.6875, 0.55),0.731374,6.6831,8.5827
GAP-web,50636151,1930292948,(0.75, 0.6),0.699003,7.4172,7.7602
GAP-web,50636151,1930292948,(0.8125, 0.65),0.662606,8.3017,6.9231
GAP-web,50636151,1930292948,(0.875, 0.7),0.633571,9.3497,6.0845
Long_Coup_dt0,1470152,87088992,(0.1875, 0.15),0.553532,0.089,0.6574
Long_Coup_dt0,1470152,87088992,(0.25, 0.2),0.553697,0.1223,0.6221
Long_Coup_dt0,1470152,87088992,(0.3125, 0.25),0.554546,0.1558,0.5852
Long_Coup_dt0,1470152,87088992,(0.375, 0.3),0.555133,0.1877,0.5501
Long_Coup_dt0,1470152,87088992,(0.4375, 0.35),0.557172,0.225,0.514
Long_Coup_dt0,1470152,87088992,(0.5, 0.4),0.560174,0.2592,0.4797
Long_Coup_dt0,1470152,87088992,(0.5625, 0.45),0.562438,0.296,0.4436
Long_Coup_dt0,1470152,87088992,(0.625, 0.5),0.563492,0.3295,0.4097
Long_Coup_dt0,1470152,87088992,(0.6875, 0.55),0.564674,0.3644,0.3724
Long_Coup_dt0,1470152,87088992,(0.75, 0.6),0.566078,0.398,0.3364
Long_Coup_dt0,1470152,87088992,(0.8125, 0.65),0.567653,0.432,0.3001
Long_Coup_dt0,1470152,87088992,(0.875, 0.7),0.570260,0.4712,0.2648
Long_Coup_dt6,1470152,87088992,(0.1875, 0.15),0.553532,0.0889,0.6572
Long_Coup_dt6,1470152,87088992,(0.25, 0.2),0.553697,0.1222,0.6219
Long_Coup_dt6,1470152,87088992,(0.3125, 0.25),0.554546,0.1556,0.5853
Long_Coup_dt6,1470152,87088992,(0.375, 0.3),0.555133,0.1876,0.5501
Long_Coup_dt6,1470152,87088992,(0.4375, 0.35),0.557172,0.225,0.5139
Long_Coup_dt6,1470152,87088992,(0.5, 0.4),0.560174,0.2592,0.4796
Long_Coup_dt6,1470152,87088992,(0.5625, 0.45),0.562438,0.2962,0.4437
Long_Coup_dt6,1470152,87088992,(0.625, 0.5),0.563492,0.3295,0.4097
Long_Coup_dt6,1470152,87088992,(0.6875, 0.55),0.564674,0.3646,0.3723
Long_Coup_dt6,1470152,87088992,(0.75, 0.6),0.566078,0.3981,0.3362
