Matrix Name,cd_perf (ms),cusparse_perf (ms)
Harvard500,0.0050,0.0106
Hook_1498,0.5411,0.5702
Ill_Stokes,0.0077,0.0151
JapaneseVowelsSmall_10NN,0.0058,0.0130
Journals,0.0048,0.0101
Kaufhold,0.0048,0.0121
Kohonen,0.0082,0.0159
Kuu,0.0065,0.0135
L-9,0.0053,0.0125
L,0.0046,0.0108
LF10000,0.0050,0.0127
LFAT5000,0.0052,0.0126
LeGresley_2508,0.0047,0.0115
LeGresley_4908,0.0050,0.0118
LeGresley_87936,0.0091,0.0175
Lederberg,0.0067,0.0134
Lin,0.0162,0.0267
Linux_call_graph,0.0161,0.0250
Long_Coup_dt0,0.7622,0.7881
Long_Coup_dt6,0.7621,0.7880
M10PI_n,0.0044,0.0107
M10PI_n1,0.0047,0.0111
M20PI_n,0.0044,0.0113
M20PI_n1,0.0045,0.0110
M40PI_n,0.0046,0.0113
M40PI_n1,0.0046,0.0116
M6,0.4814,0.4427
M80PI_n,0.0048,0.0119
M80PI_n1,0.0049,0.0117
MISKnowledgeMap,0.0058,0.0130
ML_Geer,0.9481,0.9898
ML_Laplace,0.2466,0.2435
Muu,0.0055,0.0123
NACA0015,0.0810,0.0830
NLR,0.6248,0.5885
Na5,0.0068,0.0135
NotreDame_www,0.0332,0.0559
NotreDame_yeast,0.0055,0.0119
ODLIS,0.0048,0.0115
OPF_10000,0.0072,0.0154
OPF_3754,0.0055,0.0127
OPF_6000,0.0063,0.0139
Olivetti_norm_10NN,0.0047,0.0108
Oregon-1,0.0354,0.0127
Oregon-2,0.0365,0.0129
PFlow_742,0.3285,0.3263
PGPgiantcompo,0.0063,0.0136
PR02R,0.0828,0.0841
Pd,0.0054,0.0128
Plants_10NN,0.0046,0.0112
Pres_Poisson,0.0083,0.0163
Queen_4147,2.6489,2.9637
RFdevice,0.0069,0.0155
RM07R,0.3339,0.3208
Raj1,0.0135,0.0236
Reuters911,0.0097,0.0160
Roget,0.0048,0.0108
S10PI_n,0.0044,0.0110
S10PI_n1,0.0046,0.0107
S20PI_n,0.0044,0.0112
S20PI_n1,0.0048,0.0113
S40PI_n,0.0044,0.0113
S40PI_n1,0.0048,0.0115
S80PI_n,0.0049,0.0115
S80PI_n1,0.0046,0.0115
SciMet,0.0055,0.0120
Serena,0.5823,0.5954
Si10H16,0.0102,0.0186
Si2,0.0046,0.0110
Si34H36,0.0559,0.0545
Si41Ge41H72,0.1374,0.1326
Si5H12,0.0098,0.0176
Si87H76,0.1041,0.1024
SiH4,0.0059,0.0127
SiNa,0.0061,0.0132
SiO,0.0137,0.0217
SiO2,0.1070,0.0991
Sieber,0.0045,0.0110
SmaGri,0.0052,0.0119
Spectro_10NN,0.0046,0.0115
Stanford,0.0392,0.0447
Stanford_Berkeley,2.7062,0.0811
StocF-1465,0.2140,0.2264
TEM152078,0.0692,0.0703
TEM181302,0.0812,0.0817
TEM27623,0.0075,0.0149
TS,0.0048,0.0117
TSC_OPF_1047,0.0150,0.0200
TSC_OPF_300,0.0090,0.0165
TSOPF_FS_b162_c1,0.0078,0.0152
TSOPF_FS_b162_c3,0.0145,0.0214
TSOPF_FS_b162_c4,0.0190,0.0258
TSOPF_FS_b300,0.0457,0.0447
