Matrix Name,cd_perf (ms),cusparse_perf (ms)
Ill_Stokes,0.0076,0.0164
JapaneseVowelsSmall_10NN,0.0056,0.0141
Journals,0.0044,0.0116
Kaufhold,0.0050,0.0145
Kohonen,0.0131,0.0166
Kuu,0.0059,0.0148
L-9,0.0062,0.0144
L,0.0054,0.0127
LF10000,0.0050,0.0147
LFAT5000,0.0059,0.0147
LeGresley_2508,0.0049,0.0138
LeGresley_4908,0.0053,0.0142
LeGresley_87936,0.0080,0.0166
Lederberg,0.0090,0.0158
Lin,0.0115,0.0237
Linux_call_graph,0.0148,0.0230
Long_Coup_dt0,0.6823,0.5397
Long_Coup_dt6,0.6822,0.5397
M10PI_n,0.0053,0.0128
M10PI_n1,0.0056,0.0131
M20PI_n,0.0055,0.0138
M20PI_n1,0.0057,0.0137
M40PI_n,0.0055,0.0139
M40PI_n1,0.0057,0.0133
M6,0.1902,0.2013
M80PI_n,0.0060,0.0145
M80PI_n1,0.0056,0.0145
MISKnowledgeMap,0.0055,0.0136
ML_Geer,0.9294,0.7267
ML_Laplace,0.2367,0.1967
Muu,0.0054,0.0139
NACA0015,0.0621,0.0707
NLR,0.2251,0.2420
Na5,0.0064,0.0148
NotreDame_www,0.0657,0.0383
NotreDame_yeast,0.0072,0.0143
ODLIS,0.0049,0.0135
OPF_10000,0.0071,0.0162
OPF_3754,0.0060,0.0147
OPF_6000,0.0063,0.0155
Olivetti_norm_10NN,0.0047,0.0124
Oregon-1,0.0682,0.0155
Oregon-2,0.0686,0.0153
PFlow_742,0.2882,0.2446
PGPgiantcompo,0.0077,0.0153
PR02R,0.0663,0.0637
Pd,0.0075,0.0152
Plants_10NN,0.0046,0.0127
Pres_Poisson,0.0074,0.0164
Queen_4147,2.6785,2.1907
RFdevice,0.0069,0.0164
RM07R,0.3175,0.2769
Raj1,0.0115,0.0204
Reuters911,0.0089,0.0171
Roget,0.0053,0.0133
S10PI_n,0.0054,0.0134
S10PI_n1,0.0056,0.0130
S20PI_n,0.0056,0.0138
S20PI_n1,0.0056,0.0135
S40PI_n,0.0057,0.0144
S40PI_n1,0.0056,0.0135
S80PI_n,0.0059,0.0143
S80PI_n1,0.0055,0.0145
SciMet,0.0078,0.0153
Serena,0.4970,0.4002
Si10H16,0.0100,0.0175
Si2,0.0047,0.0126
Si34H36,0.0456,0.0458
Si41Ge41H72,0.1412,0.1092
Si5H12,0.0098,0.0172
Si87H76,0.0959,0.0830
SiH4,0.0057,0.0142
SiNa,0.0057,0.0143
SiO,0.0132,0.0196
SiO2,0.1153,0.0833
Sieber,0.0045,0.0136
SmaGri,0.0057,0.0133
Spectro_10NN,0.0048,0.0125
Stanford,0.0320,0.0424
Stanford_Berkeley,4.6653,0.0631
StocF-1465,0.1511,0.1359
TEM152078,0.0573,0.0529
TEM181302,0.0677,0.0619
TEM27623,0.0068,0.0157
TS,0.0053,0.0133
TSC_OPF_1047,0.0287,0.0256
TSC_OPF_300,0.0104,0.0168
TSOPF_FS_b162_c1,0.0091,0.0163
TSOPF_FS_b162_c3,0.0163,0.0230
TSOPF_FS_b162_c4,0.0182,0.0260
TSOPF_FS_b300,0.0369,0.0479
TSOPF_FS_b300_c1,0.0368,0.0475
TSOPF_FS_b300_c2,0.0856,0.0959
TSOPF_FS_b300_c3,0.1352,0.1227
TSOPF_FS_b39_c19,0.4520,0.0232
TSOPF_FS_b39_c30,0.7017,0.0316
TSOPF_FS_b39_c7,0.1607,0.0169
TSOPF_FS_b9_c1,0.0053,0.0136
TSOPF_FS_b9_c6,0.0905,0.0148
TSOPF_RS_b162_c1,0.0055,0.0144
TSOPF_RS_b162_c3,0.0078,0.0168
TSOPF_RS_b162_c4,0.0087,0.0174
TSOPF_RS_b2052_c1,0.0728,0.0545
TSOPF_RS_b2383,0.1410,0.1175
TSOPF_RS_b2383_c1,0.1411,0.1178
TSOPF_RS_b300_c1,0.0148,0.0206
TSOPF_RS_b300_c2,0.0273,0.0308
TSOPF_RS_b300_c3,0.0345,0.0439
TSOPF_RS_b39_c19,0.0080,0.0165
TSOPF_RS_b39_c30,0.0103,0.0181
TSOPF_RS_b39_c7,0.0068,0.0152
TSOPF_RS_b678_c1,0.0437,0.0346
TSOPF_RS_b678_c2,0.0897,0.0657
TSOPF_RS_b9_c6,0.0056,0.0138
Transport,0.1611,0.1477
Trefethen_150,0.0043,0.0117
Trefethen_200,0.0042,0.0117
Trefethen_2000,0.0048,0.0129
