Matrix Name,Rows,NNZs,Parameters (colProp, rowProp),TC_nnz_ratio,du_spmv (ms),cdspmv (ms)
GAP-road,23947347,57708624,(0.6875, 0.55),0.127957,1.4617,0.5201
GAP-road,23947347,57708624,(0.75, 0.6),0.127808,1.5185,0.5158
GAP-road,23947347,57708624,(0.8125, 0.65),0.127753,1.6434,0.4889
GAP-road,23947347,57708624,(0.875, 0.7),0.127610,1.7683,0.4867
GAP-web,50636151,1930292948,(0.125, 0.1),0.932293,1.0309,7.7675
GAP-web,50636151,1930292948,(0.1875, 0.15),0.943833,1.41,7.3898
GAP-web,50636151,1930292948,(0.25, 0.2),0.947203,1.8098,7.0096
GAP-web,50636151,1930292948,(0.3125, 0.25),0.950682,2.2265,6.6286
GAP-web,50636151,1930292948,(0.375, 0.3),0.942562,2.6536,6.2459
GAP-web,50636151,1930292948,(0.4375, 0.35),0.933926,3.0954,5.8516
GAP-web,50636151,1930292948,(0.5, 0.4),0.925639,3.5543,5.4582
GAP-web,50636151,1930292948,(0.5625, 0.45),0.909102,4.0544,5.065
GAP-web,50636151,1930292948,(0.625, 0.5),0.747366,5.2657,4.6572
GAP-web,50636151,1930292948,(0.6875, 0.55),0.731374,5.941,4.2739
GAP-web,50636151,1930292948,(0.75, 0.6),0.699003,6.8166,3.8658
GAP-web,50636151,1930292948,(0.8125, 0.65),0.662606,7.8465,3.4712
GAP-web,50636151,1930292948,(0.875, 0.7),0.633571,8.8815,3.0942
Long_Coup_dt0,1470152,87088992,(0.125, 0.1),0.558468,0.0818,0.3334
Long_Coup_dt0,1470152,87088992,(0.1875, 0.15),0.553532,0.1134,0.317
Long_Coup_dt0,1470152,87088992,(0.25, 0.2),0.553697,0.1432,0.3004
Long_Coup_dt0,1470152,87088992,(0.3125, 0.25),0.554546,0.1753,0.2826
Long_Coup_dt0,1470152,87088992,(0.375, 0.3),0.555133,0.2073,0.2656
Long_Coup_dt0,1470152,87088992,(0.4375, 0.35),0.557172,0.2401,0.2488
Long_Coup_dt0,1470152,87088992,(0.5, 0.4),0.560174,0.2733,0.2327
Long_Coup_dt0,1470152,87088992,(0.5625, 0.45),0.562438,0.3052,0.2155
Long_Coup_dt0,1470152,87088992,(0.625, 0.5),0.563492,0.3376,0.1983
Long_Coup_dt0,1470152,87088992,(0.6875, 0.55),0.564674,0.3697,0.1816
Long_Coup_dt0,1470152,87088992,(0.75, 0.6),0.566078,0.4011,0.1645
Long_Coup_dt0,1470152,87088992,(0.8125, 0.65),0.567653,0.4323,0.1477
Long_Coup_dt0,1470152,87088992,(0.875, 0.7),0.570260,0.4641,0.1313
Long_Coup_dt6,1470152,87088992,(0.125, 0.1),0.558468,0.0817,0.3327
Long_Coup_dt6,1470152,87088992,(0.1875, 0.15),0.553532,0.1132,0.3162
Long_Coup_dt6,1470152,87088992,(0.25, 0.2),0.553697,0.1431,0.2997
Long_Coup_dt6,1470152,87088992,(0.3125, 0.25),0.554546,0.1753,0.2822
Long_Coup_dt6,1470152,87088992,(0.375, 0.3),0.555133,0.2072,0.2652
Long_Coup_dt6,1470152,87088992,(0.4375, 0.35),0.557172,0.24,0.2485
Long_Coup_dt6,1470152,87088992,(0.5, 0.4),0.560174,0.2728,0.2325
Long_Coup_dt6,1470152,87088992,(0.5625, 0.45),0.562438,0.3049,0.2153
Long_Coup_dt6,1470152,87088992,(0.625, 0.5),0.563492,0.3373,0.1982
Long_Coup_dt6,1470152,87088992,(0.6875, 0.55),0.564674,0.3697,0.1814
Long_Coup_dt6,1470152,87088992,(0.75, 0.6),0.566078,0.4014,0.1645
Long_Coup_dt6,1470152,87088992,(0.8125, 0.65),0.567653,0.433,0.1477
Long_Coup_dt6,1470152,87088992,(0.875, 0.7),0.570260,0.4647,0.1313
ML_Geer,1504002,110879972,(0.125, 0.1),0.596524,0.0853,0.4262
ML_Geer,1504002,110879972,(0.1875, 0.15),0.598054,0.1211,0.4041
ML_Geer,1504002,110879972,(0.25, 0.2),0.598996,0.1573,0.3824
ML_Geer,1504002,110879972,(0.3125, 0.25),0.599561,0.1945,0.3605
ML_Laplace,377002,27689972,(0.125, 0.1),0.588918,0.0248,0.1155
ML_Laplace,377002,27689972,(0.1875, 0.15),0.591619,0.0322,0.1095
ML_Laplace,377002,27689972,(0.25, 0.2),0.593478,0.0391,0.1046
ML_Laplace,377002,27689972,(0.3125, 0.25),0.594151,0.0485,0.099
ML_Laplace,377002,27689972,(0.375, 0.3),0.594214,0.0588,0.093
ML_Laplace,377002,27689972,(0.4375, 0.35),0.594662,0.0731,0.0883
ML_Laplace,377002,27689972,(0.5, 0.4),0.595261,0.0849,0.082
ML_Laplace,377002,27689972,(0.5625, 0.45),0.596130,0.095,0.0767
ML_Laplace,377002,27689972,(0.625, 0.5),0.597063,0.1044,0.0714
Queen_4147,4147110,329499284,(0.125, 0.1),0.515364,0.2681,1.2609
Queen_4147,4147110,329499284,(0.1875, 0.15),0.515518,0.3935,1.195
Queen_4147,4147110,329499284,(0.25, 0.2),0.515890,0.522,1.1289
Queen_4147,4147110,329499284,(0.3125, 0.25),0.516499,0.6484,1.0629
Queen_4147,4147110,329499284,(0.375, 0.3),0.517228,0.7732,0.9965
Queen_4147,4147110,329499284,(0.4375, 0.35),0.517618,0.9013,0.9298
Queen_4147,4147110,329499284,(0.5, 0.4),0.518051,1.0268,0.8624
Queen_4147,4147110,329499284,(0.5625, 0.45),0.518262,1.1526,0.7958
Queen_4147,4147110,329499284,(0.625, 0.5),0.518569,1.279,0.7293
Queen_4147,4147110,329499284,(0.6875, 0.55),0.518813,1.4058,0.6621
Queen_4147,4147110,329499284,(0.75, 0.6),0.518804,1.5314,0.5955
Queen_4147,4147110,329499284,(0.8125, 0.65),0.518885,1.6577,0.5286
Queen_4147,4147110,329499284,(0.875, 0.7),0.518971,1.7808,0.4606
RM07R,381689,37464962,(0.125, 0.1),0.501121,0.0441,0.1538
RM07R,381689,37464962,(0.1875, 0.15),0.518867,0.0469,0.1463
RM07R,381689,37464962,(0.25, 0.2),0.503815,0.0619,0.1395
RM07R,381689,37464962,(0.3125, 0.25),0.506855,0.0831,0.1317
RM07R,381689,37464962,(0.375, 0.3),0.525571,0.0996,0.1235
RM07R,381689,37464962,(0.4375, 0.35),0.503726,0.116,0.1155
RM07R,381689,37464962,(0.5, 0.4),0.488572,0.1344,0.1082
RM07R,381689,37464962,(0.5625, 0.45),0.501342,0.1474,0.1024
RM07R,381689,37464962,(0.625, 0.5),0.501895,0.1598,0.0955
RM07R,381689,37464962,(0.6875, 0.55),0.482415,0.1815,0.0894
RM07R,381689,37464962,(0.75, 0.6),0.492260,0.1913,0.0825
RM07R,381689,37464962,(0.8125, 0.65),0.506651,0.2048,0.0764
RM07R,381689,37464962,(0.875, 0.7),0.510856,0.2188,0.073
af_shell10,1508065,52672325,(0.125, 0.1),0.598765,0.0398,0.2362
af_shell10,1508065,52672325,(0.1875, 0.15),0.598756,0.0614,0.2302
af_shell10,1508065,52672325,(0.25, 0.2),0.598758,0.0861,0.2246
af_shell10,1508065,52672325,(0.3125, 0.25),0.598763,0.1063,0.2178
af_shell10,1508065,52672325,(0.375, 0.3),0.598760,0.1262,0.2124
af_shell10,1508065,52672325,(0.4375, 0.35),0.598763,0.1463,0.207
af_shell10,1508065,52672325,(0.5, 0.4),0.598760,0.1658,0.2001
af_shell10,1508065,52672325,(0.5625, 0.45),0.598765,0.1855,0.1944
af_shell10,1508065,52672325,(0.625, 0.5),0.598764,0.2051,0.1887
af_shell10,1508065,52672325,(0.6875, 0.55),0.598763,0.2255,0.1822
af_shell10,1508065,52672325,(0.75, 0.6),0.598763,0.2454,0.175
af_shell10,1508065,52672325,(0.8125, 0.65),0.598761,0.266,0.1682
af_shell10,1508065,52672325,(0.875, 0.7),0.598764,0.2859,0.1616
arabic-2005,22744080,639999458,(0.125, 0.1),0.912021,0.3627,2.6803
arabic-2005,22744080,639999458,(0.1875, 0.15),0.922906,0.5106,2.5541
arabic-2005,22744080,639999458,(0.25, 0.2),0.927423,0.6571,2.4252
arabic-2005,22744080,639999458,(0.3125, 0.25),0.926912,0.8093,2.2942
arabic-2005,22744080,639999458,(0.375, 0.3),0.919094,0.9671,2.1642
arabic-2005,22744080,639999458,(0.4375, 0.35),0.908012,1.1228,2.0271
arabic-2005,22744080,639999458,(0.5, 0.4),0.897962,1.2734,1.8737
arabic-2005,22744080,639999458,(0.5625, 0.45),0.878026,1.4571,1.7429
arabic-2005,22744080,639999458,(0.625, 0.5),0.855063,1.6464,1.6079
arabic-2005,22744080,639999458,(0.6875, 0.55),0.836296,1.8361,1.4782
