Matrix Name,Rows,NNZs,Parameters (colProp, rowProp),TC_nnz_ratio,se_spmv (ms),cdspmv (ms)
GAP-road,23947347,57708624,(0.6875, 0.55),0.127957,0.3227,0.52
GAP-road,23947347,57708624,(0.75, 0.6),0.127808,0.3432,0.5157
GAP-road,23947347,57708624,(0.8125, 0.65),0.127753,0.369,0.4891
GAP-road,23947347,57708624,(0.875, 0.7),0.127610,0.4022,0.4866
GAP-web,50636151,1930292948,(0.125, 0.1),0.932293,1.0556,7.7717
GAP-web,50636151,1930292948,(0.1875, 0.15),0.943833,1.4439,7.3946
GAP-web,50636151,1930292948,(0.25, 0.2),0.947203,1.8685,7.0134
GAP-web,50636151,1930292948,(0.3125, 0.25),0.950682,2.356,6.6324
GAP-web,50636151,1930292948,(0.375, 0.3),0.942562,2.7908,6.2506
GAP-web,50636151,1930292948,(0.4375, 0.35),0.933926,3.2684,5.857
GAP-web,50636151,1930292948,(0.5, 0.4),0.925639,3.7527,5.4625
GAP-web,50636151,1930292948,(0.5625, 0.45),0.909102,4.2649,5.0692
GAP-web,50636151,1930292948,(0.625, 0.5),0.747366,4.7424,4.6595
GAP-web,50636151,1930292948,(0.6875, 0.55),0.731374,5.2836,4.2759
GAP-web,50636151,1930292948,(0.75, 0.6),0.699003,5.8569,3.8675
GAP-web,50636151,1930292948,(0.8125, 0.65),0.662606,6.4334,3.4698
GAP-web,50636151,1930292948,(0.875, 0.7),0.633571,6.9465,3.093
Long_Coup_dt0,1470152,87088992,(0.125, 0.1),0.558468,0.0702,0.3336
Long_Coup_dt0,1470152,87088992,(0.1875, 0.15),0.553532,0.0851,0.3173
Long_Coup_dt0,1470152,87088992,(0.25, 0.2),0.553697,0.1058,0.3005
Long_Coup_dt0,1470152,87088992,(0.3125, 0.25),0.554546,0.1303,0.2827
Long_Coup_dt0,1470152,87088992,(0.375, 0.3),0.555133,0.1503,0.2658
Long_Coup_dt0,1470152,87088992,(0.4375, 0.35),0.557172,0.1776,0.249
Long_Coup_dt0,1470152,87088992,(0.5, 0.4),0.560174,0.1965,0.233
Long_Coup_dt0,1470152,87088992,(0.5625, 0.45),0.562438,0.2219,0.2156
Long_Coup_dt0,1470152,87088992,(0.625, 0.5),0.563492,0.2436,0.1984
Long_Coup_dt0,1470152,87088992,(0.6875, 0.55),0.564674,0.268,0.1816
Long_Coup_dt0,1470152,87088992,(0.75, 0.6),0.566078,0.2878,0.1645
Long_Coup_dt0,1470152,87088992,(0.8125, 0.65),0.567653,0.3153,0.1477
Long_Coup_dt0,1470152,87088992,(0.875, 0.7),0.570260,0.3322,0.1313
Long_Coup_dt6,1470152,87088992,(0.125, 0.1),0.558468,0.0697,0.3327
Long_Coup_dt6,1470152,87088992,(0.1875, 0.15),0.553532,0.0844,0.3162
Long_Coup_dt6,1470152,87088992,(0.25, 0.2),0.553697,0.1049,0.2996
Long_Coup_dt6,1470152,87088992,(0.3125, 0.25),0.554546,0.1296,0.2821
Long_Coup_dt6,1470152,87088992,(0.375, 0.3),0.555133,0.1496,0.2652
Long_Coup_dt6,1470152,87088992,(0.4375, 0.35),0.557172,0.1764,0.2485
Long_Coup_dt6,1470152,87088992,(0.5, 0.4),0.560174,0.1955,0.2325
Long_Coup_dt6,1470152,87088992,(0.5625, 0.45),0.562438,0.2214,0.2152
Long_Coup_dt6,1470152,87088992,(0.625, 0.5),0.563492,0.243,0.1981
Long_Coup_dt6,1470152,87088992,(0.6875, 0.55),0.564674,0.2673,0.1813
