Matrix Name,Rows,NNZs,Parameters (colProp, rowProp),TC_nnz_ratio,du_spmv (ms),cdspmv (ms)
Bump_2911,2911419,127729899,(0.125, 0.1),0.344844,0.129,0.5172
Bump_2911,2911419,127729899,(0.1875, 0.15),0.377906,0.1731,0.49
Bump_2911,2911419,127729899,(0.25, 0.2),0.390372,0.2201,0.4634
Bump_2911,2911419,127729899,(0.3125, 0.25),0.398447,0.271,0.4363
Bump_2911,2911419,127729899,(0.375, 0.3),0.405363,0.3199,0.4115
Bump_2911,2911419,127729899,(0.4375, 0.35),0.409380,0.369,0.387
Bump_2911,2911419,127729899,(0.5, 0.4),0.411684,0.4159,0.3617
Bump_2911,2911419,127729899,(0.5625, 0.45),0.412402,0.4667,0.3374
Bump_2911,2911419,127729899,(0.625, 0.5),0.412709,0.515,0.3126
Bump_2911,2911419,127729899,(0.6875, 0.55),0.412854,0.5651,0.2888
Bump_2911,2911419,127729899,(0.75, 0.6),0.413043,0.6147,0.2646
Bump_2911,2911419,127729899,(0.8125, 0.65),0.412735,0.6675,0.2408
Bump_2911,2911419,127729899,(0.875, 0.7),0.411791,0.7173,0.2164
CoupCons3D,416800,22322336,(0.125, 0.1),0.553719,0.0132,0.0944
CoupCons3D,416800,22322336,(0.1875, 0.15),0.551483,0.0172,0.0905
CoupCons3D,416800,22322336,(0.25, 0.2),0.554410,0.0215,0.0874
CoupCons3D,416800,22322336,(0.3125, 0.25),0.546722,0.025,0.0823
CoupCons3D,416800,22322336,(0.375, 0.3),0.540880,0.0336,0.0777
CoupCons3D,416800,22322336,(0.4375, 0.35),0.538470,0.0431,0.0734
CoupCons3D,416800,22322336,(0.5, 0.4),0.545606,0.0556,0.0685
CoupCons3D,416800,22322336,(0.5625, 0.45),0.551467,0.0701,0.0634
CoupCons3D,416800,22322336,(0.625, 0.5),0.552907,0.0798,0.0596
CoupCons3D,416800,22322336,(0.6875, 0.55),0.563347,0.0861,0.6196
CoupCons3D,416800,22322336,(0.75, 0.6),0.553338,0.0931,0.6288
CoupCons3D,416800,22322336,(0.8125, 0.65),0.554528,0.102,0.5858
