Matrix,Init Time (ms),Best Time (ms),Best col_frac,Best hot_frac
1138_bus,0.004692,0.004692,0.0,0.0
144,0.026694,0.026694,0.0,0.0
2D_27628_bjtcai,0.00701,0.00701,0.0,0.0
2D_54019_highK,0.011101,0.011101,0.0,0.0
2cubes_sphere,0.016647,0.016647,0.0,0.0
333SP,0.319617,0.319617,0.0,0.0
3D_28984_Tetra,0.008189,0.008189,0.0,0.0
3D_51448_3D,0.011586,0.011586,0.0,0.0
3Dspectralwave,0.304287,0.302124,0.85,0.6810606607215012
3Dspectralwave2,0.135746,0.135746,0.0,0.0
3dtube,0.037426,0.024243,0.6627373502318541,0.41779511056254093
3elt,0.004423,0.004423,0.0,0.0
3elt_dual,0.004879,0.004879,0.0,0.0
494_bus,0.004833,0.004833,0.0,0.0
598a,0.020431,0.020431,0.0,0.0
662_bus,0.004992,0.004992,0.0,0.0
685_bus,0.00426,0.00426,0.0,0.0
ABACUS_shell_hd,0.005862,0.005862,0.0,0.0
ABACUS_shell_ld,0.005891,0.005891,0.0,0.0
ABACUS_shell_md,0.005777,0.005777,0.0,0.0
ABACUS_shell_ud,0.005889,0.005889,0.0,0.0
ACTIVSg10K,0.005484,0.005484,0.0,0.0
ACTIVSg2000,0.00467,0.00467,0.0,0.0
ACTIVSg70K,0.006641,0.006641,0.0,0.0
AS365,0.526284,0.472167,0.7261192569051143,0.5258527392265546
ASIC_100k,0.011288,0.011288,0.0,0.0
ASIC_100ks,0.00851,0.00851,0.0,0.0
ASIC_320k,0.035535,0.035535,0.0,0.0
ASIC_320ks,0.018228,0.018228,0.0,0.0
ASIC_680k,0.054092,0.054092,0.0,0.0
ASIC_680ks,0.041626,0.041626,0.0,0.0
Alemdar,0.005136,0.005136,0.0,0.0
Andrews,0.01479,0.01479,0.0,0.0
Baumann,0.008498,0.008498,0.0,0.0
BenElechi1,0.122216,0.119245,0.6770615388311981,0.12840435290631466
Binaryalphadigs_10NN,0.004778,0.004778,0.0,0.0
CAG_mat1916,0.006436,0.006436,0.0,0.0
CAG_mat364,0.004938,0.004938,0.0,0.0
CAG_mat72,0.004315,0.004315,0.0,0.0
